DATAFLOW,LAST UPDATE,freq,indic_sbs,nace_r2,size_emp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Albania,2021,21658.01,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Albania,2022,28234.06,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Austria,2021,893997.7,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Austria,2022,1068619.85,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Austria,2023,1010793.1,p,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Bosnia and Herzegovina,2021,42718.4,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Bosnia and Herzegovina,2022,52310.45,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Bosnia and Herzegovina,2023,54182.65,p,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Belgium,2021,1299519.3,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Belgium,2022,1657226.15,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Belgium,2023,1631010.14,p,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Bulgaria,2021,190923.85,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Bulgaria,2022,261098.95,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Bulgaria,2023,256898.61,p,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Switzerland,2021,2550876.59,e,NaN
