InputFile,OutputFile,EncodingUsed,SizeBytes,Rows,Columns,CleanTimeSeconds
Zwischenablage/naio_10_fcp_ii1.csv,results/result.csv,utf-8-sig,3855455603,46816501,12,338.0973
TrainingData\fakeData\anne_car_data_1.csv,TrainingData\fakeData\anne_car_data_1.csv.tmp,utf-8-sig,52909,551,12,0.0341
TrainingData\fakeData\car_price_data_generated.csv,TrainingData\fakeData\car_price_data_generated.csv.tmp,utf-8-sig,113660,1001,10,0.0413
TrainingData\fakeData\chatGPT_Benford_s_Law_Dataset.csv,TrainingData\fakeData\chatGPT_Benford_s_Law_Dataset.csv.tmp,utf-8-sig,71012,1001,10,0.0456
TrainingData\fakeData\chatGPT_fakedata_1.csv,TrainingData\fakeData\chatGPT_fakedata_1.csv.tmp,utf-8-sig,114044,1001,8,0.0441
TrainingData\fakeData\chatGPT_fakedata_2.csv,TrainingData\fakeData\chatGPT_fakedata_2.csv.tmp,utf-8-sig,114044,1001,8,0.0355
TrainingData\fakeData\chatGPT_fakedata_3.csv,TrainingData\fakeData\chatGPT_fakedata_3.csv.tmp,utf-8-sig,222999,1001,15,0.0789
TrainingData\fakeData\chatGPT_fakedata_4.csv,TrainingData\fakeData\chatGPT_fakedata_4.csv.tmp,utf-8-sig,114044,1001,8,0.0944
TrainingData\fakeData\data-kFyc2cTUki-kacHEIvy4j.csv,TrainingData\fakeData\data-kFyc2cTUki-kacHEIvy4j.csv.tmp,utf-8-sig,120897,501,17,0.0297
TrainingData\fakeData\generatedatacom.csv,TrainingData\fakeData\generatedatacom.csv.tmp,utf-8-sig,64924,501,6,0.0728
TrainingData\fakeData\kaggle_reallooking_data.csv,TrainingData\fakeData\kaggle_reallooking_data.csv.tmp,utf-8-sig,6678090,50001,11,0.7055
TrainingData\fakeData\Loan Prediction_with_errors_1.csv,TrainingData\fakeData\Loan Prediction_with_errors_1.csv.tmp,utf-8-sig,28110027,252001,14,1.4269
TrainingData\fakeData\Loan Prediction_with_errors_2.csv,TrainingData\fakeData\Loan Prediction_with_errors_2.csv.tmp,utf-8-sig,28113233,252001,14,1.1353
TrainingData\fakeData\table_hp.csv,TrainingData\fakeData\table_hp.csv.tmp,utf-8-sig,273680,3926,7,0.0769
TrainingData\fakeData\table_hpq.csv,TrainingData\fakeData\table_hpq.csv.tmp,utf-8-sig,274773,3926,7,0.0369
TrainingData\fakeData\table_ibm.csv,TrainingData\fakeData\table_ibm.csv.tmp,utf-8-sig,274766,3926,7,0.0192
TrainingData\fakeData\table_jbl.csv,TrainingData\fakeData\table_jbl.csv.tmp,utf-8-sig,272427,3926,7,0.0183
TrainingData\fakeData\table_jpm.csv,TrainingData\fakeData\table_jpm.csv.tmp,utf-8-sig,274368,3926,7,0.0349
TrainingData\fakeData\table_met.csv,TrainingData\fakeData\table_met.csv.tmp,utf-8-sig,234148,3357,7,0.0727
TrainingData\fakeData\table_nyx.csv,TrainingData\fakeData\table_nyx.csv.tmp,utf-8-sig,129668,1870,7,0.0316
TrainingData\fakeData\table_pcg.csv,TrainingData\fakeData\table_pcg.csv.tmp,utf-8-sig,272691,3926,7,0.0736
TrainingData\fakeData\table_usb.csv,TrainingData\fakeData\table_usb.csv.tmp,utf-8-sig,274361,3926,7,0.0471
TrainingData\fakeData\table_vrsn.csv,TrainingData\fakeData\table_vrsn.csv.tmp,utf-8-sig,264892,3907,7,0.0269
TrainingData\fakeData\table_yhoo.csv,TrainingData\fakeData\table_yhoo.csv.tmp,utf-8-sig,231462,3926,7,0.0593
TrainingData\fakeData\table_zmh.csv,TrainingData\fakeData\table_zmh.csv.tmp,utf-8-sig,210858,3020,7,0.0382
TrainingData\fakeData\user_behavior_dataset_with_errors_1.csv,TrainingData\fakeData\user_behavior_dataset_with_errors_1.csv.tmp,utf-8-sig,55100,701,11,0.028
TrainingData\fakeData\user_behavior_dataset_with_errors_2.csv,TrainingData\fakeData\user_behavior_dataset_with_errors_2.csv.tmp,utf-8-sig,55417,701,11,0.0298
TrainingData\fakeData\BenfordZipsDatasets\Perfect_Benford_Dataset__10_Columns_.csv,TrainingData\fakeData\BenfordZipsDatasets\Perfect_Benford_Dataset__10_Columns_.csv.tmp,utf-8-sig,204455,1001,10,0.0434
TrainingData\fakeData\BenfordZipsDatasets\Perfect_Zipf_Dataset__10_Columns_.csv,TrainingData\fakeData\BenfordZipsDatasets\Perfect_Zipf_Dataset__10_Columns_.csv.tmp,utf-8-sig,94330,1001,10,0.0328
TrainingData\realData\breast_cancer_data_cleaned.csv,TrainingData\realData\breast_cancer_data_cleaned.csv.tmp,utf-8-sig,161621,570,32,0.0278
TrainingData\realData\car_fuel_data.csv,TrainingData\realData\car_fuel_data.csv.tmp,utf-8-sig,52875,551,12,0.029
TrainingData\realData\car_price_data.csv,TrainingData\realData\car_price_data.csv.tmp,utf-8-sig,774601,10001,10,0.0716
TrainingData\realData\CD.csv,TrainingData\realData\CD.csv.tmp,utf-8-sig,942403,5721,13,0.0861
TrainingData\realData\creditcard_data_cleaned.csv,TrainingData\realData\creditcard_data_cleaned.csv.tmp,utf-8-sig,168201980,284808,31,5.313
TrainingData\realData\Global_Cybersecurity_Threats_2015-2024.csv,TrainingData\realData\Global_Cybersecurity_Threats_2015-2024.csv.tmp,utf-8-sig,314300,3001,10,0.0299
TrainingData\realData\horse_data.csv,TrainingData\realData\horse_data.csv.tmp,utf-8-sig,42367,301,28,0.0291
TrainingData\realData\iris_data.csv,TrainingData\realData\iris_data.csv.tmp,utf-8-sig,6221,151,5,0.0164
TrainingData\realData\Loan Prediction_original.csv,TrainingData\realData\Loan Prediction_original.csv.tmp,utf-8-sig,28178155,252001,14,1.4861
TrainingData\realData\pokemon_data.csv,TrainingData\realData\pokemon_data.csv.tmp,utf-8-sig,97341,906,12,0.0503
TrainingData\realData\spotify_2023.csv,TrainingData\realData\spotify_2023.csv.tmp,utf-8-sig,152212,954,24,0.401
TrainingData\realData\students_grading_data.csv,TrainingData\realData\students_grading_data.csv.tmp,utf-8-sig,936120,5001,23,0.5417
TrainingData\realData\students_performance_data_cleaned.csv,TrainingData\realData\students_performance_data_cleaned.csv.tmp,utf-8-sig,73037,1001,8,0.0921
TrainingData\realData\user_behavior_dataset_original.csv,TrainingData\realData\user_behavior_dataset_original.csv.tmp,utf-8-sig,55001,701,11,0.0871
TrainingData\realData\winequality-red.csv,TrainingData\realData\winequality-red.csv.tmp,utf-8-sig,140951,1600,12,0.0372
TrainingData\realData\cvap\BlockGr.csv,TrainingData\realData\cvap\BlockGr.csv.tmp,utf-8-sig,269237786,1823150,11,11.4814
TrainingData\realData\cvap\CD.csv,TrainingData\realData\cvap\CD.csv.tmp,utf-8-sig,942403,5721,13,0.0748
TrainingData\realData\cvap\County.csv,TrainingData\realData\cvap\County.csv.tmp,utf-8-sig,2961655,23395,13,0.2194
TrainingData\realData\cvap\MCD.csv,TrainingData\realData\cvap\MCD.csv.tmp,utf-8-sig,23092169,156599,14,2.7614
TrainingData\realData\cvap\Nation.csv,TrainingData\realData\cvap\Nation.csv.tmp,utf-8-sig,1906,14,12,0.0207
TrainingData\realData\cvap\Place.csv,TrainingData\realData\cvap\Place.csv.tmp,utf-8-sig,4465273,35870,13,0.7177
TrainingData\realData\cvap\SLDLC.csv,TrainingData\realData\cvap\SLDLC.csv.tmp,utf-8-sig,9355566,63441,13,1.0505
TrainingData\realData\cvap\SLDUC.csv,TrainingData\realData\cvap\SLDUC.csv.tmp,utf-8-sig,3844856,25533,13,0.1843
TrainingData\realData\cvap\State.csv,TrainingData\realData\cvap\State.csv.tmp,utf-8-sig,82299,677,12,0.0322
TrainingData\realData\cvap\Tract.csv,TrainingData\realData\cvap\Tract.csv.tmp,utf-8-sig,84370211,641434,10,3.9714
TrainingData\realData\EuroStat\demo_divcb.csv,TrainingData\realData\EuroStat\demo_divcb.csv.tmp,utf-8-sig,600635,5934,11,0.0452
TrainingData\realData\EuroStat\demo_divcz.csv,TrainingData\realData\EuroStat\demo_divcz.csv.tmp,utf-8-sig,1302599,13015,11,0.0556
TrainingData\realData\EuroStat\demo_fabort.csv,TrainingData\realData\EuroStat\demo_fabort.csv.tmp,utf-8-sig,752870,7992,10,0.0552
TrainingData\realData\EuroStat\demo_fabortind.csv,TrainingData\realData\EuroStat\demo_fabortind.csv.tmp,utf-8-sig,49914,503,10,0.0267
TrainingData\realData\EuroStat\demo_fabortord.csv,TrainingData\realData\EuroStat\demo_fabortord.csv.tmp,utf-8-sig,2475465,24497,11,0.1933
TrainingData\realData\EuroStat\demo_facbc.csv,TrainingData\realData\EuroStat\demo_facbc.csv.tmp,utf-8-sig,14430075,145475,11,0.914
TrainingData\realData\EuroStat\demo_faczc.csv,TrainingData\realData\EuroStat\demo_faczc.csv.tmp,utf-8-sig,18189283,184589,11,2.6007
TrainingData\realData\EuroStat\demo_faeduc.csv,TrainingData\realData\EuroStat\demo_faeduc.csv.tmp,utf-8-sig,7836042,79530,11,0.4339
TrainingData\realData\EuroStat\demo_faemplc.csv,TrainingData\realData\EuroStat\demo_faemplc.csv.tmp,utf-8-sig,5150722,51719,11,0.8127
TrainingData\realData\EuroStat\demo_fagec.csv,TrainingData\realData\EuroStat\demo_fagec.csv.tmp,utf-8-sig,30193969,307414,11,1.5603
TrainingData\realData\EuroStat\demo_fager.csv,TrainingData\realData\EuroStat\demo_fager.csv.tmp,utf-8-sig,27352686,279331,11,1.403
TrainingData\realData\EuroStat\demo_fasec.csv,TrainingData\realData\EuroStat\demo_fasec.csv.tmp,utf-8-sig,10802309,112974,11,0.4908
TrainingData\realData\EuroStat\demo_find.csv,TrainingData\realData\EuroStat\demo_find.csv.tmp,utf-8-sig,1602044,17569,9,0.1321
