city_mpg,class,combination_mpg,cylinders,displacement,drive,fuel_type,highway_mpg,make,model,transmission,year
25,midsize car,29,4.0,2.5,fwd,gas,36,mazda,6,m,2014
48,midsize car,30,4.0,2.5,fwd,gas,37,mazda,6,7aiZ_a,2014
25,small sport utility vehicle,27,4.0,2.5,fwd,gas,31,mazda,cx-5 2wd,a,2014
26,small sport utility vehicle,29,4.0,2.0,fwd,gas,34,mazda,cx-5 2wd,m,2014
26,small sport utility vehicle,14,4.0,2.0,fwd,gas,32,NaN,cx-5 2wd,a,2014
24,small sport utility vehicle,20,4.0,2.5,4wd,gas,29,mazda,cx-5 4wd,a,2014
25,small sport utility vehicle,27,4.0,2.0,4wd,gas,30,mazda,cx-5 4wd,a,2014
19,subcompact car,22,6.0,3.7,rwd,gas,29,ford,mustang,m,2014
10,subcompzc4 ca5,23,6.0,3.7,rwd,gas,30,ford,mustang,s4_a,2014
15,subcombact car,18,8.0,5.8,rwd,gas,24,ford,mustang,m,2014
18,subcompact car,20,8.0,5.0,rwd,gas,25,ford,mustang,a,2014
22,small sport utility vehicle,24,4.0,2.5,awd,gas,28,subaru,forester awd,m,2014
24,small sport utility vehicle,27,4.0,2.5,awd,gas,31,subaru,forester awd,a,2014
23,small sport utility vehicle,25,4.0,2.0,awd,gas,27,NaN,forester awd,a,2014
54,subckkpact cxr,23,6.0,3.7,rwd,gas,29,ford,mustang convertible,a,2014
16,subcompact car,19,8.0,5.0,rwd,gas,25,ford,mustang,m,2014
16,subcompact car,19,6.0,3.8,awd,gas,23,nissen,gt-r,a,2014
24,large car,28,6.0,3.0,awd,diesel,36,audi,a8 l,a,2014
20,small sport utility vehicle,22,4.0,2.4,fwd,gas,26,kia,sorento 2wd,a,2014
19,small sport utility vehicle,21,4.0,2.4,fwd,gas,27,kia,sorento 2wd,m,2014
18,small sport utility vehicle,21,6.0,3.3,fwd,gas,25,kia,sorento 2wd,a,2014
19,small sport utility vehicle,21,4.0,2.4,4wd,gas,24,kia,sorento 4wd,a,2014
18,small sport utility vehicle,20,6.0,3.3,4wd,gas,23,kia,sorento 4wd,a,2014
17,zmall sport utility vehicle,19,6.0,3.5,awd,gas,22,nissan,murano crosscabriolet,a,2014
13,two seater,16,10.0,5.2,awd,gas,22,audi,r8 spyder,a,2014
13,two zeater,16,10.0,5.2,awd,gaz,22,audi,r8,a,2014
14,two seater,17,8.0,4.2,awd,gas,23,audi,r8 spyder,a,2014
14,two seater,17,8.0,4.2,awd,gas,23,audi,r8,a,2014
12,two seater,23,10.0,5.2,awd,gas,19,audi,r8 spyder,m,2014
12,two seater,14,10.0,5.2,awd,gas,19,audi,r8,m,2014
11,two seater,14,8.0,4.2,awd,gas,20,audi,r8 spyder,m,2014
11,two seater,14,8.0,4.2,awd,gas,20,audi,r8,m,2014
13,minicompact car,15,12.0,5.9,rwd,gas,19,aston martin,db9,a,2014
13,minicompact car,15,12.0,5.9,rwd,gas,19,aston martin,vanquish,a,2014
51,subcompact car,15,12.0,5.9,rwd,gas,19,aston martin,rapide s,a,2014
14,subcompact car,17,8.0,5.0,rwd,gas,22,roush performance,stage 3 mustang,m,2014
21,small sport utility vehicle,24,4.0,2.4,fwd,gas,28,u_jeep,compass fwd,a,2014
21,small sport udility vehicle,24,4.0,2.4,fwd,gas,28,jeep,patriot fwd,a,2014
21,small sport utility vehicle,24,4.0,2.0,fwd,gas,28,jeep,compass fwd,a,2014
21,small sport utility vehicle,24,4.0,2.0,fwd,gas,28,jeep,patriot fwd,a,2014
23,small sport utility vehicle,25,4.0,2.4,fwd,gas,28,jeep,patriot fwd,m,2014
23,small sport utility vehicle,25,4.0,2.4,fwd,gas,28,jeep,compass fwd,m,2014
23,small sport utility vehicle,51,4.0,2.0,fwd,jas,30,jeep,compass fwd,m,2014
21,small sport utility vehicle,23,4.0,2.4,4wd,gas,27,jeep,compass 4wd,a,2014
21,small sport utility vehicle,23,4.0,2.4,4wd,jas,27,jeep,patriot 4wd,a,2014
23,small sport utility vehicle,25,4.0,2.4,4wd,gas,28,jeep,compass 4wd,m,2014
23,smell sport utility vehicle,25,4.0,2.4,4wd,gas,28,jeep,patriot 4wd,m,2014
22,standard sport utility vehicle,15,8.0,6.4,4wd,gas,19,jeep,grand cherokee srt8,a,2014
14,standard sport utility vehicle,17,8.0,4.8,awd,gas,21,porsche,cayenne turbo,a,2014
15,subcompact car,17,8.0,5.0,rwd,gas,22,roush performance,stage 3 mustang,a,2014
62,subcompact car,19,6.0,3.8,awd,1W_gas,23,nissan,gt-r,a,2015
20,compact car,23,5.0,2.5,awd,gas,28,volvo,s60 awd,a,2015
26,midsize car,30,4.0,2.5,fwd,NaN,37,mazda,6,a,2015
28,midsize car,58,4.0,2.5,fwd,gas,39,mazda,6,a,2015
25,DgX_midsize car,29,4.0,2.5,fwd,gas,35,mazda,6,m,2015
18,large car,21,6.0,3.8,rwd,gas,26,kia,k900,a,2015
15,large car,18,8.0,5.0,rwd,gas,23,kia,k900,a,2015
18,7A_small sport utility vehicle,21,6.0,3.3,fwd,gas,25,kia,sorento fwd,a,2015
31,small sport utility vehicle,28,4.0,2.0,fwd,gas,32,mazda,cx-5 2wd,a,2015
26,small sport utility vehicle,29,4.0,2.0,fwd,JzR_gas,34,mazda,cx-5 2wd,m,2015
25,small sport utility vehicle,27,4.0,2.5,fwd,gas,31,mazda,cx-5 2wd,a,2015
19,small sport utility vehicle,21,4.0,2.4,awd,ges,25,kia,sorento awd,q,2015
60,small sport utility vehicle,20,6.0,3.3,awd,gas,23,kia,sorento awd,q,2015
25,small sport utility vehicle,27,4.0,2.0,4wd,gas,30,mazda,cx-5 4wd,a,2015
24,small sport utility vehicle,26,4.0,2.5,4wd,gas,29,mazda,cx-5 4wd,a,2015
17,small sport utility vehicle,20,6.0,3.0,awd,gas,24,volvo,xc60 awd,a,2015
17,small sport utility vehicle,20,6.0,3.0,awd,gas,24,volvo,xc70 awd,a,2015
22,two seater,26,4.0,2.0,awd,gas,31,audi,tt roadster quattro,a,2015
22,subcompact car,52,4.0,2.0,awd,gas,31,audi,tt coupe quattro,a,2015
21,compact car,24,4.0,2.0,awd,Uct_gas,28,U9_subaru,wrx,m,2015
17,A_compact car,19,4.0,2.5,awd,gas,23,subaru,wrx,m,2015
19,compact car,22,6.0,3.0,awd,gas,28,vg1_volvo,s60 awd,a,2015
57,midsize car,22,6.0,3.0,awd,gas,28,volvo,s80 awd,a,2015
20,small station wagon,23,5.0,2.5,awd,gas,28,volvo,v60 awd,a,2015
19,small station wagon,22,6.0,3.0,awd,gas,28,volvo,v60 awd,a,2015
16,standard pickup truck,19,8.0,5.3,rwd,gas,23,chevrolet,silverado c15 2wd,a,2015
16,standard pickup truck,60,8.0,5.3,rwd,gas,23,gnc,sierra c15 2wd,w,2015
16,stxndatd pick7p truck,18,8.0,5.3,4wd,gas,22,chevrolet,silverado k15 4wd,aCOW_a,2015
16,standard pickup truck,18,8.0,5.3,4wd,gas,22,gmc,sierra k15 4wd,a,2015
54,small sport utility vehicle,23,4.0,2.4,fwd,gas,27,kia,sorento fwd,a,2015
15,standard sport utility vehicle,17,8.0,6.2,rwd,y_gas,21,cadillac,escalade 2wd,a,2015
15,standard sport utility vehicle,17,8.0,6.2,rwd,gas,21,cadillac,escalade esv 2wd,a,2015
16,standard sport utility vehicle,18,8.0,5.3,rwd,gas,23,chevrolet,tahoe c1500 2wd,a,2015
16,standard sport utility vehicle,18,8.0,5.3,rwd,gas,23,chavrolet,suburban c1500 2wd,a,2015
15,standard sport utility vehicle,17,8.0,6.2,rwd,gas,21,gmc,yukon c1500 2wd,a,2015
15,standard sport utility vehicle,17,8.0,6.2,rwd,gas,21,gmc,yukon c1500 xl 2wd,a,2015
62,standard sport utility vehicle,18,8.0,5.3,rwd,gas,23,gmc,yukon c1500 2wd,a,2015
16,standard sport utility vehicle,18,8.0,5.3,rwd,gas,23,gmc,yukon c1500 xl 2wd,a,2015
14,standard sport utility vehicle,16,8.0,6.2,4wd,gas,21,cadillac,escalade 4wd,a,2015
14,standard sport utility vehicle,22,8.0,6.2,4wd,gas,20,cadillac,escalade esv 4wd,a,2015
16,standard sport utility vehicle,18,8.0,5.3,4wd,gas,22,chevrolet,tahoe k1500 4wd,a,2015
15,standard sport utility fehicle,18,8.0,5.3,4wd,gas,22,chevrolet,suburban k1500 4wd,a,2015
14,9K4j_standard sport utility vehicle,16,8.0,6.2,4wd,gas,20,gmc,yukon k1500 xl 4wd,a,2015
14,standard sport utility vehicle,16,8.0,6.2,4wd,gas,21,gmc,yukon k1500 4wd,e,2015
15,standard sport utility vehicle,18,8.0,5.3,4wd,gas,22,gmc,yukon k1500 xl 4wd,a,2015
16,standard sport utility vehicle,18,8.0,5.3,4wd,gas,22,gmc,yukon k1500 4wd,a,2015
16,two seater,18,8.0,5.0,rwd,gas,23,jaguar,f-type v8 s convertible,a,2015
16,two seater,18,8.0,5.0,rwd,gas,23,jaguar,f-type r coupe,a,2015
20,two seater,23,6.0,3.0,rwd,gas,28,jaguar,f-type convertible,NaN,2015
20,two seater,23,6.0,3.0,rwd,gas,28,jaguar,f-type coupe,a,2015
26,midsize car,30,4.0,2.5,fwd,gas,37,mazde,6,0a5j_a,2016
28,midsize car,32,4.0,2.5,fwd,gas,38,mazda,6,a,2016
25,midsize car,29,4.0,2.5,fwd,gas,36,mazda,6,m,2016
18,small sport utility vehicle,21,6.0,3.3,awd,gas,25,kis,sorento fe awd,V_a,2016
20,small sport utility vehicle,23,4.0,2.0,fwd,gas,27,kia,sorento fwd,a,2016
21,small sport utility vehicle,56,4.0,2.4,fwd,gas,28,kia,sorento fwd,a,2016
18,small sport utility vehicle,48,6.0,3.3,fwd,gas,25,kia,sorento fwd,a,2016
